NIM,Gender,Usia,Fakultas,Angkatan,Jenis Buku,Jumlah Dipinjam,lamaMeminjam,Status Pengembalian,Denda
20001503,L,22,FEB,2023,Fiksi,2,6,Tepat Waktu,0
20001631,P,21,FEB,2019,Jurnal Ilmiah,4,5,Tepat Waktu,0
20001996,P,24,FEB,2021,Lainnya,2,7,Tepat Waktu,0
20001409,L,22,Fakultas Kedokteran,2022,Lainnya,1,8,Telat,1000
20001887,L,18,Fakultas Kedokteran,2022,Lainnya,1,3,Tepat Waktu,0
20001862,P,21,Fakultas Kedokteran,2020,Fiksi,2,1,Tepat Waktu,0
20001631,P,22,FEB,2022,Jurnal Ilmiah,1,7,Tepat Waktu,0
20001358,P,22,Fakultas Teknik,2022,Fiksi,3,1,Tepat Waktu,0
20001290,P,18,Fakultas Kedokteran,2022,Jurnal Ilmiah,1,5,Tepat Waktu,0
20001216,P,20,Fakultas Kedokteran,2019,Lainnya,3,7,Tepat Waktu,0
20001191,L,23,Fakultas Kedokteran,2021,Text Book,4,1,Tepat Waktu,0
20001389,P,19,FEB,2021,Lainnya,2,4,Tepat Waktu,0
20001994,P,21,FEB,2020,Jurnal Ilmiah,2,8,Telat,1000
20001439,P,24,FEB,2020,Jurnal Ilmiah,2,8,Telat,1000
20001235,L,20,Fakultas Teknik,2020,Text Book,3,2,Tepat Waktu,0
20001446,P,22,Fakultas Kedokteran,2020,Lainnya,1,7,Tepat Waktu,0
20001940,P,23,FEB,2019,Fiksi,3,6,Tepat Waktu,0
20001537,L,20,Fakultas Teknik,2023,Fiksi,3,8,Telat,1000
20001638,P,21,Fakultas Kedokteran,2021,Text Book,1,8,Telat,1000
20001953,L,23,FEB,2020,Fiksi,2,9,Telat,2000
20001067,L,22,Fakultas Teknik,2022,Lainnya,4,6,Tepat Waktu,0
20001740,L,24,FEB,2022,Lainnya,4,2,Tepat Waktu,0
20001241,L,24,Fakultas Kedokteran,2020,Text Book,2,9,Telat,2000
20001344,P,22,Fakultas Kedokteran,2021,Jurnal Ilmiah,4,1,Tepat Waktu,0
20001932,L,24,FEB,2021,Jurnal Ilmiah,1,2,Tepat Waktu,0
20001117,L,23,Fakultas Kedokteran,2022,Text Book,2,3,Tepat Waktu,0
20001497,P,23,FEB,2019,Fiksi,4,4,Tepat Waktu,0
20001178,L,18,Fakultas Kedokteran,2020,Text Book,2,2,Tepat Waktu,0
20001502,P,22,Fakultas Teknik,2020,Fiksi,3,2,Tepat Waktu,0
20001141,P,20,Fakultas Kedokteran,2022,Fiksi,4,6,Tepat Waktu,0
20001112,L,19,Fakultas Teknik,2020,Jurnal Ilmiah,4,7,Tepat Waktu,0
20001032,P,23,Fakultas Kedokteran,2021,Jurnal Ilmiah,3,2,Tepat Waktu,0
20001708,P,23,Fakultas Teknik,2023,Jurnal Ilmiah,3,8,Telat,1000
20001978,P,23,FEB,2023,Jurnal Ilmiah,2,1,Tepat Waktu,0
20001838,P,24,FEB,2022,Lainnya,1,3,Tepat Waktu,0
20001233,L,19,Fakultas Teknik,2019,Fiksi,1,5,Tepat Waktu,0
20001067,P,20,Fakultas Teknik,2021,Lainnya,3,3,Tepat Waktu,0
20001911,P,19,FEB,2023,Text Book,2,6,Tepat Waktu,0
20001256,L,20,Fakultas Kedokteran,2023,Text Book,1,9,Telat,2000
20001239,L,19,FEB,2020,Lainnya,1,1,Tepat Waktu,0
20001197,P,23,Fakultas Kedokteran,2020,Lainnya,4,3,Tepat Waktu,0
20001904,P,22,Fakultas Kedokteran,2020,Text Book,1,1,Tepat Waktu,0
20001046,P,21,Fakultas Kedokteran,2021,Text Book,3,3,Tepat Waktu,0
20001834,P,23,FEB,2021,Jurnal Ilmiah,3,4,Tepat Waktu,0
20001889,P,22,Fakultas Teknik,2021,Lainnya,1,3,Tepat Waktu,0
20001287,L,23,FEB,2020,Text Book,2,1,Tepat Waktu,0
20001200,L,23,FEB,2023,Text Book,4,5,Tepat Waktu,0
20001532,L,20,Fakultas Teknik,2020,Text Book,4,8,Telat,1000
20001018,L,19,FEB,2021,Jurnal Ilmiah,2,5,Tepat Waktu,0
20001870,L,23,Fakultas Kedokteran,2019,Lainnya,3,9,Telat,2000
20001825,P,21,Fakultas Teknik,2021,Lainnya,3,9,Telat,2000
20001441,P,19,Fakultas Teknik,2022,Jurnal Ilmiah,3,9,Telat,2000
20001740,L,22,Fakultas Kedokteran,2019,Lainnya,1,1,Tepat Waktu,0
20001592,L,18,FEB,2020,Lainnya,2,6,Tepat Waktu,0
20001567,P,21,FEB,2019,Lainnya,1,4,Tepat Waktu,0
20001598,P,21,FEB,2021,Lainnya,3,2,Tepat Waktu,0
20001657,L,22,Fakultas Teknik,2019,Lainnya,1,7,Tepat Waktu,0
20001479,L,24,FEB,2023,Jurnal Ilmiah,4,6,Tepat Waktu,0
20001800,P,18,Fakultas Teknik,2019,Jurnal Ilmiah,1,6,Tepat Waktu,0
20001260,P,18,FEB,2021,Lainnya,3,3,Tepat Waktu,0
20001645,P,21,FEB,2022,Fiksi,1,9,Telat,2000
20001209,L,22,FEB,2022,Lainnya,2,1,Tepat Waktu,0
20001758,L,21,Fakultas Kedokteran,2021,Jurnal Ilmiah,1,4,Tepat Waktu,0
20001761,L,23,Fakultas Kedokteran,2020,Jurnal Ilmiah,3,4,Tepat Waktu,0
20001798,L,23,FEB,2019,Lainnya,2,5,Tepat Waktu,0
20001613,P,18,FEB,2023,Fiksi,4,8,Telat,1000
20001817,L,20,FEB,2019,Fiksi,2,2,Tepat Waktu,0
20001577,P,20,FEB,2023,Text Book,4,3,Tepat Waktu,0
20001390,L,18,Fakultas Teknik,2019,Text Book,3,2,Tepat Waktu,0
20001213,P,18,FEB,2023,Jurnal Ilmiah,1,4,Tepat Waktu,0
20001804,L,22,Fakultas Kedokteran,2022,Lainnya,2,7,Tepat Waktu,0
20001744,L,23,FEB,2022,Fiksi,3,7,Tepat Waktu,0
20001866,L,18,Fakultas Kedokteran,2020,Jurnal Ilmiah,2,2,Tepat Waktu,0
20001595,L,23,FEB,2021,Jurnal Ilmiah,2,1,Tepat Waktu,0
20001973,L,23,Fakultas Teknik,2022,Lainnya,1,1,Tepat Waktu,0
20001342,P,21,Fakultas Teknik,2022,Text Book,4,5,Tepat Waktu,0
20001592,L,18,Fakultas Kedokteran,2022,Fiksi,3,9,Telat,2000
20001589,L,23,FEB,2019,Jurnal Ilmiah,3,2,Tepat Waktu,0
20001123,L,21,Fakultas Kedokteran,2021,Text Book,1,7,Tepat Waktu,0
20001490,P,22,Fakultas Kedokteran,2022,Text Book,4,7,Tepat Waktu,0
20001807,L,23,FEB,2020,Text Book,1,6,Tepat Waktu,0
20001877,P,19,Fakultas Teknik,2022,Text Book,3,4,Tepat Waktu,0
